,loss,accuracy,auc,recall,precision,f1_score,val_loss,val_accuracy,val_auc,val_recall,val_precision,val_f1_score,lr
85,0.023471221327781677,0.9951724410057068,0.9999964833259583,0.9926015138626099,0.9970954060554504,0.994834840297699,0.111802838742733,0.967162013053894,0.9981225728988647,0.9620075225830078,0.9763940572738647,0.9691485166549683,4.8828124e-06
86,0.023863457143306732,0.9951786994934082,0.9999899864196777,0.9923563599586487,0.9969246983528137,0.9946261644363403,0.11179324984550476,0.9671368598937988,0.99812251329422,0.9619823694229126,0.9764432907104492,0.969119131565094,4.8828124e-06
87,0.023204591125249863,0.9953169822692871,0.9999935626983643,0.9927648901939392,0.9971651434898376,0.9949517250061035,0.1117948442697525,0.967162013053894,0.9981222748756409,0.9619823694229126,0.9764183163642883,0.9691040515899658,2.4414062e-06
88,0.023495471104979515,0.9954867362976074,0.9999964237213135,0.992702066898346,0.9971586465835571,0.9949159622192383,0.11177903413772583,0.9671871662139893,0.99812251329422,0.9619823694229126,0.9764682054519653,0.9691124558448792,2.4414062e-06
89,0.02337818220257759,0.9953295588493347,0.9999870657920837,0.9926266074180603,0.9971521496772766,0.9948745965957642,0.11178822815418243,0.9671871662139893,0.99812251329422,0.9620075225830078,0.9763940572738647,0.9691404700279236,2.4414062e-06
90,0.023505698889493942,0.9954301714897156,0.9999963641166687,0.9926957488059998,0.9971901178359985,0.994931161403656,0.11178100109100342,0.9671368598937988,0.9981226325035095,0.9620075225830078,0.9764189720153809,0.9691614508628845,2.4414062e-06
91,0.02331935614347458,0.9954050183296204,0.9999935626983643,0.992783784866333,0.9972281455993652,0.9949914813041687,0.11177738755941391,0.9671368598937988,0.99812251329422,0.9620075225830078,0.9764189720153809,0.9691504836082458,1.2207031e-06
92,0.02332761138677597,0.995518147945404,0.9999934434890747,0.9926957488059998,0.9972782731056213,0.9949727058410645,0.11179462820291519,0.967162013053894,0.9981225728988647,0.9620075225830078,0.9763690829277039,0.9691230654716492,1.2207031e-06
93,0.023355333134531975,0.9952604174613953,0.9999964833259583,0.9926580786705017,0.9970892667770386,0.9948607683181763,0.11177416890859604,0.9671871662139893,0.99812251329422,0.9620075225830078,0.9764189720153809,0.9691159129142761,1.2207031e-06
94,0.023211361840367317,0.995436429977417,0.9999967217445374,0.9926894903182983,0.9971208572387695,0.9948927760124207,0.1117742732167244,0.967162013053894,0.99812251329422,0.9620075225830078,0.9764189720153809,0.9691224098205566,1.2207031e-06
95,0.023312820121645927,0.9955118894577026,0.9999966025352478,0.9925763607025146,0.9972212314605713,0.9948851466178894,0.11178424954414368,0.967162013053894,0.9981226325035095,0.9620075225830078,0.976443886756897,0.9691277742385864,1e-06
96,0.023133717477321625,0.9955055713653564,0.9999967217445374,0.9925826191902161,0.9971960783004761,0.994875431060791,0.11178361624479294,0.9671368598937988,0.9981224536895752,0.9620075225830078,0.976443886756897,0.9691579341888428,1e-06
97,0.02355772629380226,0.9950655698776245,0.9999964237213135,0.9923689365386963,0.9970946907997131,0.9947179555892944,0.11177661269903183,0.967162013053894,0.9981225728988647,0.9620075225830078,0.9764937162399292,0.9691641926765442,1e-06
98,0.023479249328374863,0.9954112768173218,0.9999934434890747,0.9926455020904541,0.9971206784248352,0.9948689341545105,0.11177218705415726,0.9670865535736084,0.9981225728988647,0.9620075225830078,0.9764189720153809,0.9691446423530579,1e-06
99,0.023201197385787964,0.9955684542655945,0.9999937415122986,0.9927460551261902,0.9973665475845337,0.9950419664382935,0.11177284270524979,0.967162013053894,0.9981224536895752,0.9620075225830078,0.976443886756897,0.9691457748413086,1e-06
100,0.023518715053796768,0.9953609704971313,0.9999932646751404,0.9923689365386963,0.9972080588340759,0.9947742223739624,0.1117774248123169,0.9671368598937988,0.99812251329422,0.9620075225830078,0.976443886756897,0.96916264295578,1e-06
101,0.023492200300097466,0.9953169822692871,0.9999934434890747,0.9925574660301208,0.9971330165863037,0.9948322772979736,0.11177065968513489,0.9671368598937988,0.9981225728988647,0.9620075225830078,0.976443886756897,0.9691739082336426,1e-06
102,0.02351338043808937,0.9954238533973694,0.9999966025352478,0.9924317598342896,0.9971704483032227,0.9947858452796936,0.11177407205104828,0.9671368598937988,0.9981224536895752,0.9620326161384583,0.9764693975448608,0.9691661596298218,1e-06
103,0.02374803088605404,0.9951283931732178,0.9999933838844299,0.9921866059303284,0.9969682097434998,0.9945624470710754,0.11177197098731995,0.967162013053894,0.99812251329422,0.9620075225830078,0.9764688014984131,0.9691600799560547,1e-06
104,0.023129748180508614,0.9953421354293823,0.9999935626983643,0.9925951957702637,0.9970953464508057,0.9948316812515259,0.11175735294818878,0.967162013053894,0.9981223940849304,0.9620075225830078,0.9764688014984131,0.9691722393035889,1e-06
105,0.02345072105526924,0.9953358769416809,0.9999964833259583,0.992563784122467,0.9971267580986023,0.9948310852050781,0.11176184564828873,0.9671368598937988,0.99812251329422,0.9620075225830078,0.976443886756897,0.9691640138626099,1e-06
106,0.023493168875575066,0.9953672885894775,0.999993622303009,0.9925072193145752,0.9970762133598328,0.9947766065597534,0.1117641031742096,0.967162013053894,0.99812251329422,0.9620075225830078,0.9764189720153809,0.9691262245178223,1e-06
107,0.023520061746239662,0.995417594909668,0.9999902844429016,0.9923248887062073,0.9972394704818726,0.9947675466537476,0.11176027357578278,0.967162013053894,0.9981224536895752,0.9620075225830078,0.9764688014984131,0.9691542983055115,1e-06
108,0.023574277758598328,0.9953924417495728,0.9999868869781494,0.9925700426101685,0.9970827102661133,0.9948129653930664,0.11176517605781555,0.9671117067337036,0.99812251329422,0.9620075225830078,0.976443886756897,0.9691500663757324,1e-06
109,0.023823143914341927,0.995216429233551,0.9999932050704956,0.9926140308380127,0.9970765113830566,0.9948328733444214,0.11176306009292603,0.9671368598937988,0.9981224536895752,0.9620075225830078,0.976443886756897,0.9691656827926636,1e-06
110,0.023082660511136055,0.9954490065574646,0.9999967813491821,0.9926957488059998,0.9972656965255737,0.9949669241905212,0.11176527291536331,0.9671117067337036,0.99812251329422,0.9620075225830078,0.9764937162399292,0.9691622257232666,1e-06
111,0.023747945204377174,0.9953233003616333,0.9999963045120239,0.9924505949020386,0.9971894025802612,0.9948055744171143,0.11175894737243652,0.9671368598937988,0.9981224536895752,0.9620075225830078,0.976443886756897,0.9691608548164368,1e-06
