epoch,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
62,0.00010478,0.9997,0.9996,0.9997,0.9997,0.1385,0.5975,0.5987,0.596,0.6026
63,8.86E-05,0.9998,0.9997,0.9998,0.9998,0.1389,0.5972,0.5986,0.596,0.6023
64,9.95E-05,0.9997,0.9996,0.9997,0.9997,0.1388,0.5964,0.5977,0.595,0.6014
65,8.65E-05,0.9999,0.9998,0.9998,0.9999,0.1393,0.596,0.5974,0.5947,0.6011
66,9.67E-05,0.9997,0.9996,0.9997,0.9997,0.1391,0.5965,0.598,0.5953,0.6018
67,8.43E-05,0.9998,0.9997,0.9998,0.9998,0.1391,0.5964,0.5979,0.5952,0.6015
68,9.30E-05,0.9997,0.9996,0.9997,0.9997,0.139,0.5968,0.5984,0.5957,0.602
69,0.00010583,0.9997,0.9996,0.9997,0.9997,0.1389,0.5968,0.5983,0.5957,0.602
70,0.00010022,0.9998,0.9997,0.9998,0.9998,0.1389,0.5969,0.5984,0.5957,0.6021
71,9.40E-05,0.9997,0.9997,0.9997,0.9998,0.1388,0.5969,0.5984,0.5957,0.6022
72,8.06E-05,0.9998,0.9997,0.9998,0.9998,0.1387,0.5969,0.5983,0.5956,0.6021
73,9.13E-05,0.9997,0.9996,0.9997,0.9997,0.1388,0.5968,0.5984,0.5957,0.6021
74,9.55E-05,0.9998,0.9997,0.9998,0.9998,0.1388,0.5968,0.5983,0.5956,0.6021
75,8.29E-05,0.9998,0.9997,0.9998,0.9998,0.1388,0.597,0.5984,0.5957,0.6022
76,7.96E-05,0.9999,0.9998,0.9999,0.9999,0.1388,0.5969,0.5984,0.5958,0.6021
77,8.22E-05,0.9999,0.9998,0.9999,0.9999,0.1389,0.597,0.5985,0.5958,0.6022
78,9.44E-05,0.9998,0.9997,0.9998,0.9998,0.1389,0.597,0.5984,0.5958,0.6021
79,8.27E-05,0.9999,0.9998,0.9999,0.9999,0.1389,0.5969,0.5984,0.5958,0.6021
80,9.54E-05,0.9997,0.9996,0.9997,0.9997,0.1389,0.597,0.5984,0.5958,0.6021
81,0.00016221,0.9995,0.9993,0.9994,0.9995,0.1335,0.5969,0.5983,0.5955,0.6022
82,0.00015363,0.9995,0.9993,0.9994,0.9995,0.1335,0.5966,0.598,0.5951,0.6021
83,0.00013914,0.9997,0.9996,0.9996,0.9997,0.1326,0.5973,0.5989,0.5959,0.6031
84,0.00015044,0.9994,0.9993,0.9994,0.9994,0.1332,0.5975,0.5987,0.5958,0.603
85,0.0001255,0.9996,0.9995,0.9996,0.9996,0.1341,0.597,0.5983,0.5954,0.6024
86,0.00011022,0.9999,0.9998,0.9999,0.9999,0.1351,0.5982,0.5994,0.5966,0.6036
87,0.00011246,0.9997,0.9996,0.9997,0.9997,0.1342,0.5973,0.5985,0.5956,0.6028
88,0.0001118,0.9998,0.9997,0.9998,0.9998,0.1352,0.5972,0.5985,0.5956,0.6028
89,0.00012269,0.9997,0.9996,0.9997,0.9997,0.1373,0.5981,0.5994,0.5967,0.6033
90,0.00012197,0.9996,0.9995,0.9996,0.9996,0.1372,0.5968,0.598,0.5954,0.6019
91,0.00010599,0.9997,0.9996,0.9997,0.9997,0.1395,0.5959,0.597,0.5946,0.6007
92,0.00012305,0.9996,0.9995,0.9996,0.9996,0.1409,0.5982,0.5991,0.5969,0.6023
93,9.60E-05,0.9997,0.9996,0.9997,0.9997,0.1403,0.5955,0.5967,0.594,0.6006
94,0.00011566,0.9997,0.9996,0.9997,0.9997,0.1401,0.5962,0.5978,0.5951,0.6015
95,9.13E-05,0.9998,0.9997,0.9998,0.9998,0.1399,0.5969,0.5983,0.5956,0.602
96,8.14E-05,0.9999,0.9998,0.9999,0.9999,0.1399,0.597,0.5983,0.5957,0.6021
97,8.64E-05,0.9998,0.9997,0.9998,0.9998,0.14,0.5972,0.5984,0.5958,0.6022
98,8.53E-05,0.9999,0.9998,0.9998,0.9999,0.1397,0.5976,0.599,0.5963,0.6027
99,0.00010328,0.9998,0.9997,0.9998,0.9998,0.1397,0.5975,0.5988,0.5961,0.6027
100,9.48E-05,0.9997,0.9996,0.9997,0.9997,0.1402,0.5977,0.599,0.5964,0.6028
101,9.74E-05,0.9997,0.9996,0.9997,0.9997,0.1397,0.5979,0.5991,0.5964,0.6029
102,9.57E-05,0.9998,0.9997,0.9998,0.9998,0.14,0.598,0.5992,0.5966,0.6028
103,8.24E-05,0.9999,0.9998,0.9999,0.9999,0.1399,0.5974,0.5986,0.5958,0.6025
104,9.24E-05,0.9998,0.9997,0.9998,0.9998,0.1399,0.5974,0.5987,0.5959,0.6026
105,9.44E-05,0.9997,0.9996,0.9997,0.9997,0.1399,0.5975,0.5987,0.5959,0.6027
106,9.95E-05,0.9997,0.9996,0.9997,0.9997,0.1398,0.5973,0.5987,0.5959,0.6026
107,8.64E-05,0.9998,0.9997,0.9998,0.9998,0.1399,0.5973,0.5985,0.5958,0.6025
108,9.74E-05,0.9998,0.9997,0.9997,0.9998,0.14,0.5974,0.5985,0.5959,0.6024
109,8.94E-05,0.9998,0.9997,0.9998,0.9998,0.1399,0.5973,0.5985,0.5958,0.6025
110,9.95E-05,0.9998,0.9997,0.9998,0.9998,0.14,0.5974,0.5985,0.5958,0.6024
111,0.00010186,0.9996,0.9995,0.9996,0.9996,0.14,0.5975,0.5987,0.596,0.6026
112,9.47E-05,0.9996,0.9995,0.9996,0.9996,0.14,0.5974,0.5987,0.596,0.6026
113,8.29E-05,0.9998,0.9997,0.9998,0.9998,0.14,0.5975,0.5987,0.5959,0.6026
114,0.00015667,0.9995,0.9994,0.9995,0.9995,0.131,0.6007,0.6019,0.599,0.6063
115,0.00015218,0.9995,0.9994,0.9995,0.9995,0.1346,0.5971,0.5983,0.5956,0.6021
116,0.00013507,0.9996,0.9995,0.9996,0.9996,0.1325,0.5973,0.5988,0.5956,0.6034
117,0.00012477,0.9996,0.9995,0.9996,0.9996,0.1327,0.5963,0.5974,0.5942,0.6018
118,0.00014056,0.9994,0.9993,0.9994,0.9995,0.1347,0.5974,0.5987,0.5959,0.6027
