,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
86,0.0023,0.9995,0.9992,0.9993,0.9992,0.0042,0.9991,0.9987,0.9988,0.9989
87,0.0007,0.9998,0.9997,0.9997,0.9997,0.0025,0.9997,0.9994,0.9995,0.9995
88,0.0,1.0,1.0,1.0,1.0,0.0019,0.9997,0.9994,0.9994,0.9994
89,0.0,1.0,1.0,1.0,1.0,0.0017,0.9997,0.9995,0.9995,0.9996
90,0.0,1.0,1.0,1.0,1.0,0.0016,0.9996,0.9995,0.9995,0.9995
91,0.0,1.0,1.0,1.0,1.0,0.0014,0.9997,0.9996,0.9997,0.9997
92,0.0,1.0,1.0,1.0,1.0,0.0016,0.9997,0.9996,0.9997,0.9997
93,0.0043,0.9991,0.9988,0.999,0.9989,0.0021,0.9997,0.9996,0.9997,0.9997
94,0.0012,0.9997,0.9996,0.9997,0.9996,0.0039,0.9992,0.9988,0.9989,0.9989
95,0.0004,0.9999,0.9999,0.9999,0.9999,0.0006,0.9999,0.9998,0.9998,0.9998
96,0.0015,0.9997,0.9996,0.9997,0.9997,0.0024,0.9996,0.9994,0.9995,0.9995
97,0.0012,0.9998,0.9997,0.9997,0.9997,0.0043,0.999,0.9985,0.9987,0.9987
98,0.0019,0.9993,0.999,0.9991,0.9991,0.0268,0.995,0.9936,0.9945,0.9944
99,0.0014,0.9997,0.9996,0.9996,0.9996,0.0039,0.9993,0.999,0.9991,0.9991
100,0.0004,0.9999,0.9999,0.9999,0.9999,0.0015,0.9996,0.9994,0.9996,0.9995
101,0.0018,0.9997,0.9995,0.9996,0.9996,0.0037,0.9992,0.9987,0.9989,0.9989
102,0.0017,0.9997,0.9995,0.9995,0.9995,0.002,0.9996,0.9994,0.9994,0.9994
103,0.0009,0.9998,0.9997,0.9997,0.9997,0.0021,0.9995,0.9995,0.9996,0.9996
104,0.0013,0.9998,0.9997,0.9997,0.9997,0.0018,0.9996,0.9994,0.9994,0.9995
105,0.0008,0.9998,0.9998,0.9998,0.9998,0.0025,0.9995,0.9992,0.9993,0.9993
106,0.0014,0.9997,0.9994,0.9995,0.9995,0.0023,0.9995,0.9993,0.9994,0.9993
107,0.0013,0.9997,0.9996,0.9997,0.9997,0.004,0.9994,0.9992,0.9992,0.9993
108,0.0012,0.9998,0.9996,0.9997,0.9997,0.0064,0.9988,0.9983,0.9985,0.9985
109,0.0016,0.9997,0.9996,0.9997,0.9997,0.0047,0.9995,0.9993,0.9994,0.9993
110,0.0009,0.9998,0.9996,0.9997,0.9997,0.0028,0.9995,0.9994,0.9994,0.9995
111,0.0011,0.9998,0.9997,0.9998,0.9998,0.0037,0.9993,0.9991,0.9993,0.9992
112,0.0016,0.9997,0.9995,0.9996,0.9996,0.0027,0.9995,0.9994,0.9994,0.9995
113,0.0012,0.9997,0.9996,0.9997,0.9997,0.0018,0.9996,0.9995,0.9995,0.9996
114,0.0006,0.9999,0.9999,0.9999,0.9999,0.0091,0.998,0.9975,0.9978,0.9979
115,0.0018,0.9996,0.9993,0.9993,0.9994,0.0021,0.9996,0.9992,0.9993,0.9993
116,0.0012,0.9997,0.9996,0.9996,0.9996,0.0042,0.9993,0.9987,0.9988,0.9988
117,0.0008,0.9999,0.9998,0.9998,0.9998,0.0018,0.9997,0.9994,0.9995,0.9995
118,0.0004,0.9999,0.9999,0.9999,0.9999,0.0018,0.9996,0.9995,0.9996,0.9996
119,0.0019,0.9997,0.9996,0.9996,0.9996,0.0021,0.9994,0.9992,0.9993,0.9992
120,0.0009,0.9998,0.9997,0.9998,0.9998,0.0063,0.9988,0.9985,0.9987,0.9986
121,0.0009,0.9998,0.9997,0.9998,0.9998,0.0044,0.9992,0.999,0.9991,0.9991
122,0.0011,0.9998,0.9997,0.9997,0.9997,0.0019,0.9996,0.9992,0.9993,0.9993
123,0.0012,0.9997,0.9996,0.9996,0.9996,0.0022,0.9996,0.9996,0.9997,0.9996
124,0.0003,0.9999,0.9999,1.0,0.9999,0.0027,0.9997,0.9994,0.9995,0.9995
125,0.0016,0.9996,0.9994,0.9995,0.9995,0.0047,0.9994,0.9991,0.9991,0.9993
126,0.0016,0.9998,0.9997,0.9997,0.9997,0.0032,0.9995,0.9993,0.9994,0.9994
127,0.0003,1.0,0.9999,1.0,1.0,0.003,0.9996,0.9994,0.9994,0.9995
128,0.0009,0.9998,0.9998,0.9998,0.9998,0.0038,0.9994,0.999,0.9992,0.9991
