,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.5368527173995972,0.4611915946006775,1.33681321144104,0.7812245488166809,0.3713610172271728,0.6554155349731445,0.6276708245277405,0.987631618976593,0.7933090329170227,0.5466234087944031
1,0.6971648931503296,0.671403706073761,0.8838492631912231,0.8184295296669006,0.5959578156471252,0.7646387815475464,0.7522083520889282,0.6828869581222534,0.8511723279953003,0.6941394209861755
2,0.769031822681427,0.7567294239997864,0.6837674975395203,0.8486167788505554,0.701856255531311,0.818071186542511,0.8128719329833984,0.5371882915496826,0.8726025223731995,0.7741739153862
3,0.8163703680038452,0.8107697367668152,0.5443652868270874,0.8729952573776245,0.7705786824226379,0.850074827671051,0.8481340408325195,0.4500738382339477,0.8902989625930786,0.82015061378479
4,0.8504716753959656,0.847707986831665,0.4487029910087585,0.8946091532707214,0.8159900307655334,0.8803033232688904,0.8788014650344849,0.3645992875099182,0.9131988883018494,0.855349600315094
5,0.873389720916748,0.8713148236274719,0.380999356508255,0.9085139036178588,0.845767617225647,0.8982324600219727,0.8979038596153259,0.3090105354785919,0.9257774949073792,0.8787056803703308
6,0.8894228339195251,0.8877289295196533,0.3343261778354645,0.9193944931030272,0.8655664920806885,0.9076915383338928,0.9075862765312196,0.279491662979126,0.9322128295898438,0.8903456330299377
7,0.901119589805603,0.90050208568573,0.2990680336952209,0.9278756976127625,0.8811748623847961,0.9139299392700196,0.9133753180503844,0.2661525011062622,0.9345412254333496,0.8986128568649292
8,0.9077509045600892,0.907640278339386,0.2778855860233307,0.9326741695404052,0.8898412585258484,0.9228565096855164,0.9227497577667236,0.2391071617603302,0.9417511224746704,0.90939062833786
9,0.916049599647522,0.9161345958709716,0.2520882785320282,0.9380263090133668,0.9003651738166809,0.910252809524536,0.9100548028945924,0.2824701368808746,0.9302870631217957,0.8957725763320923
10,0.9225795269012452,0.9224328994750975,0.2336068600416183,0.9425023198127748,0.9079537987709044,0.9298810362815856,0.9299998879432678,0.2184821665287017,0.9456348419189452,0.918824315071106
11,0.9271060228347778,0.9270690083503724,0.216996282339096,0.945816457271576,0.9136468768119812,0.9166434407234192,0.9169712066650392,0.2625206708908081,0.9340996146202089,0.9047498106956482
12,0.9318417906761168,0.9318089485168456,0.2041077464818954,0.9488941431045532,0.9193208813667296,0.9291203022003174,0.9292667508125304,0.2201881557703018,0.9442055821418762,0.918824315071106
13,0.9357280731201172,0.9357499480247498,0.1925777643918991,0.9517451524734496,0.9241707921028136,0.9392894506454468,0.9397179484367372,0.1882289797067642,0.953191578388214,0.9300585985183716
14,0.9382068514823914,0.938423991203308,0.182870402932167,0.953755259513855,0.9272835850715636,0.9430172443389891,0.9438807368278505,0.1750748455524444,0.9557657241821288,0.9353333711624146
15,0.94199800491333,0.9422573447227478,0.1734325289726257,0.9564159512519836,0.931962251663208,0.932340919971466,0.933449923992157,0.20957712829113,0.9458758234977722,0.9244794845581056
16,0.9442232847213744,0.9442434906959534,0.1659993827342987,0.957753598690033,0.9343586564064026,0.9379200339317322,0.9383181929588318,0.1937421262264251,0.9509903192520142,0.9290441870689392
