Epoch,Loss,Accuracy,F1-Score,Recall,Precision,val_Loss,val_Accuracy,val_F1-Score,val_Recall,val_Precision
54,0.0031,0.9993,0.9991,0.9992,0.9992,0.0123,0.9976,0.9971,0.9974,0.9975
55,0.0023,0.9995,0.9993,0.9994,0.9993,0.0114,0.9978,0.9974,0.9977,0.9979
56,0.0025,0.9994,0.9993,0.9994,0.9994,0.0108,0.9976,0.9971,0.9974,0.9976
57,0.0026,0.9993,0.9992,0.9994,0.9993,0.0137,0.9974,0.9972,0.9975,0.9977
58,0.0022,0.9994,0.9993,0.9994,0.9993,0.0157,0.9968,0.9964,0.9969,0.9969
59,0.0014,0.9997,0.9995,0.9996,0.9996,0.0135,0.9974,0.9967,0.9972,0.9971
60,0.0037,0.9992,0.999,0.9992,0.9991,0.0133,0.9972,0.9965,0.997,0.9969
61,0.0017,0.9996,0.9994,0.9995,0.9995,0.0106,0.9976,0.9967,0.997,0.9971
62,0.002,0.9995,0.9994,0.9995,0.9995,0.0146,0.9971,0.9959,0.9963,0.9964
63,0.0024,0.9994,0.9993,0.9994,0.9994,0.0118,0.9977,0.997,0.9973,0.9975
64,0.0027,0.9994,0.9992,0.9993,0.9992,0.011,0.9976,0.9971,0.9975,0.9975
65,0.0021,0.9996,0.9994,0.9995,0.9995,0.0132,0.9975,0.9966,0.997,0.997
66,0.0011,0.9997,0.9996,0.9996,0.9996,0.008,0.9983,0.998,0.9983,0.9982
67,0.0021,0.9995,0.9993,0.9994,0.9994,0.1314,0.9841,0.9812,0.9835,0.9847
68,0.0019,0.9995,0.9994,0.9995,0.9994,0.0102,0.9979,0.9976,0.9979,0.998
69,0.0018,0.9996,0.9995,0.9996,0.9995,0.0245,0.9948,0.9935,0.9943,0.9943
70,0.0031,0.9993,0.9991,0.9992,0.9992,0.0108,0.9978,0.9974,0.9976,0.9977
71,0.0025,0.9995,0.9993,0.9994,0.9994,0.0104,0.9978,0.9975,0.9979,0.9979
72,0.002,0.9996,0.9994,0.9995,0.9995,0.0109,0.9977,0.9972,0.9975,0.9976
73,0.0012,0.9997,0.9996,0.9997,0.9997,0.0387,0.9931,0.9915,0.9927,0.9927
74,0.0024,0.9995,0.9992,0.9993,0.9993,0.0108,0.9977,0.9972,0.9975,0.9976
75,0.0016,0.9996,0.9994,0.9995,0.9995,0.0098,0.9979,0.9974,0.9979,0.9975
76,0.0012,0.9997,0.9997,0.9997,0.9997,0.0108,0.9979,0.9977,0.998,0.9981
77,0.0028,0.9994,0.9993,0.9994,0.9993,0.0134,0.9973,0.997,0.9975,0.9973
78,0.0017,0.9995,0.9994,0.9995,0.9995,0.0693,0.9866,0.9832,0.9853,0.9855
79,0.002,0.9995,0.9994,0.9995,0.9995,0.0109,0.998,0.9975,0.9978,0.9978
80,0.0006,0.9999,0.9999,0.9999,0.9999,0.0108,0.9979,0.9975,0.9977,0.998
81,0.0015,0.9997,0.9996,0.9997,0.9996,0.0105,0.9979,0.9973,0.9977,0.9978
82,0.0013,0.9996,0.9995,0.9996,0.9996,0.1828,0.9805,0.9736,0.9787,0.9766
83,0.0024,0.9995,0.9993,0.9994,0.9994,0.0105,0.9978,0.9975,0.9979,0.9979
84,0.0011,0.9997,0.9997,0.9997,0.9997,0.01,0.9977,0.9972,0.9976,0.9977
85,0.0016,0.9996,0.9994,0.9995,0.9994,0.0136,0.997,0.9965,0.997,0.997
86,0.002,0.9996,0.9994,0.9995,0.9994,0.013,0.9975,0.9967,0.9971,0.997
87,0.0017,0.9996,0.9995,0.9996,0.9996,0.0134,0.9969,0.9963,0.9968,0.9969
88,0.0013,0.9997,0.9997,0.9997,0.9997,0.0109,0.9977,0.9972,0.9974,0.9977
89,0.0023,0.9996,0.9995,0.9995,0.9995,0.0118,0.9973,0.9966,0.9971,0.9971
90,0.0022,0.9995,0.9994,0.9995,0.9995,0.0117,0.9977,0.9969,0.9974,0.9972
91,0.0011,0.9997,0.9997,0.9997,0.9997,0.0089,0.9982,0.9977,0.9981,0.9979
92,0.0005,0.9999,0.9999,0.9999,0.9999,0.0257,0.9956,0.9944,0.9952,0.9951
93,0.0019,0.9996,0.9996,0.9996,0.9996,0.0103,0.9979,0.9972,0.9974,0.9976
94,0.0021,0.9995,0.9994,0.9995,0.9995,0.0126,0.9971,0.9957,0.9962,0.9963
95,0.0013,0.9996,0.9995,0.9996,0.9995,0.0112,0.9977,0.9972,0.9976,0.9975
96,0.0017,0.9997,0.9996,0.9997,0.9997,0.0202,0.9963,0.9951,0.9954,0.9959
97,0.0032,0.9993,0.999,0.9992,0.9991,0.0035,0.9993,0.9991,0.9992,0.9992
98,0.0017,0.9995,0.9995,0.9996,0.9995,0.0034,0.9991,0.9988,0.999,0.999
99,0.0016,0.9996,0.9995,0.9996,0.9996,0.0051,0.999,0.9988,0.999,0.999
100,0.0015,0.9996,0.9996,0.9997,0.9996,0.005,0.9988,0.9986,0.9988,0.9988
101,0.0022,0.9995,0.9994,0.9995,0.9995,0.0057,0.9986,0.9984,0.9985,0.9987
102,0.0015,0.9997,0.9996,0.9997,0.9996,0.0032,0.9994,0.9993,0.9994,0.9994
103,0.002,0.9996,0.9994,0.9995,0.9995,0.0022,0.9996,0.9995,0.9995,0.9996
104,0.0019,0.9996,0.9996,0.9997,0.9996,0.0027,0.9993,0.9992,0.9993,0.9993
105,0.0014,0.9997,0.9997,0.9997,0.9997,0.0046,0.9988,0.9986,0.9988,0.9988
106,0.0022,0.9995,0.9994,0.9995,0.9995,0.0026,0.9995,0.9994,0.9995,0.9995
107,0.0004,0.9999,0.9999,0.9999,0.9999,0.0015,0.9997,0.9997,0.9998,0.9997
108,0.0014,0.9997,0.9997,0.9997,0.9997,0.0037,0.9991,0.9989,0.999,0.999
109,0.0022,0.9996,0.9994,0.9995,0.9995,0.0034,0.9993,0.9992,0.9993,0.9993
110,0.0015,0.9996,0.9996,0.9997,0.9996,0.0024,0.9995,0.9993,0.9994,0.9994
111,0.0036,0.9992,0.999,0.9991,0.9991,0.0047,0.999,0.9987,0.9989,0.9989
112,0.0013,0.9997,0.9996,0.9996,0.9996,0.0019,0.9996,0.9995,0.9996,0.9996
113,0.0007,0.9998,0.9998,0.9998,0.9998,0.0021,0.9995,0.9994,0.9995,0.9995
114,0.0009,0.9998,0.9998,0.9998,0.9998,0.0039,0.9989,0.9987,0.9988,0.999
115,0.0017,0.9996,0.9994,0.9995,0.9995,0.0031,0.9992,0.999,0.9991,0.9991
116,0.002,0.9995,0.9994,0.9995,0.9995,0.0033,0.9992,0.9989,0.999,0.9991
117,0.0006,0.9999,0.9998,0.9999,0.9999,0.0037,0.9993,0.9993,0.9994,0.9994
118,0.0024,0.9995,0.9994,0.9995,0.9995,0.0044,0.999,0.9988,0.999,0.9988
