,loss,accuracy,auc,recall,precision,f1_score,val_loss,val_accuracy,val_auc,val_recall,val_precision,val_f1_score,lr
0,0.6640347838401794,0.9287177920341492,0.9871217608451843,0.9188992381095886,0.9451714754104614,0.930446445941925,0.08679958432912827,0.9755600690841675,0.9989600777626038,0.9695003628730774,0.9829704761505127,0.9761748909950256,0.01
1,0.05212770402431488,0.9865670204162598,0.9996480345726013,0.9822548627853394,0.9910511374473572,0.9866127967834473,0.05116243287920952,0.986296534538269,0.9995337724685669,0.982977569103241,0.9914785623550415,0.9871938824653625,0.01
2,0.03202223777770996,0.9924757480621338,0.9998536109924316,0.9895088076591492,0.995176374912262,0.9923228025436401,0.04761246219277382,0.9866485595703125,0.9995614290237427,0.9839581847190857,0.9907088875770569,0.9873169660568237,0.01
3,0.022750673815608025,0.9952290058135986,0.9999310374259949,0.9931043386459351,0.9969773292541504,0.9950308799743652,0.041141487658023834,0.988710343837738,0.9996471405029297,0.9860199689865112,0.9918808341026306,0.9889119863510132,0.01
4,0.017464300617575645,0.9967564940452576,0.9999589920043945,0.9952226877212524,0.9980899095535278,0.9966487288475037,0.03531118482351303,0.9909482002258301,0.9997043013572693,0.988408625125885,0.9935800433158875,0.9909756183624268,0.01
5,0.014256679452955723,0.9976868033409119,0.9999697804450989,0.9964233040809631,0.998601496219635,0.9975078105926514,0.033547017723321915,0.9909482002258301,0.9997561573982239,0.9886349439620972,0.9933806657791138,0.9909904599189758,0.01
6,0.01206030324101448,0.9982588291168213,0.9999924302101135,0.9973033666610718,0.9990113973617554,0.9981544017791748,0.03176724165678024,0.9910739064216614,0.9997583031654358,0.9892635345458984,0.9935102462768555,0.9913817048072815,0.01
7,0.010148213244974613,0.9987239837646484,0.9999993443489075,0.9979759454727173,0.9993265271186829,0.9986488819122314,0.029971186071634293,0.991627037525177,0.9997222423553467,0.9898669719696045,0.9937649965286255,0.9918117523193359,0.01
8,0.008948061615228653,0.9989691376686096,0.9999996423721313,0.9982650876045227,0.9994650483131409,0.9988626837730408,0.02928299829363823,0.9915767908096313,0.9997479915618896,0.9901184439659119,0.994117796421051,0.9921033978462219,0.01
9,0.008001952432096004,0.9991891384124756,0.9999996423721313,0.9986171126365662,0.9996098875999451,0.9991118311882019,0.02855808660387993,0.9919036626815796,0.9997735023498535,0.9904704689979553,0.9939693808555603,0.9922181367874146,0.01
10,0.0071570598520338535,0.9993588328361511,0.9999999403953552,0.9988559484481812,0.9996791481971741,0.9992663264274597,0.02753814309835434,0.9921048283576965,0.9997615814208984,0.9909230470657349,0.9941225647926331,0.9925072193145752,0.01
11,0.006498949136584997,0.9994342923164368,0.9999998807907104,0.9990382790565491,0.9997106790542603,0.9993735551834106,0.027304548770189285,0.992129921913147,0.9997622966766357,0.990822434425354,0.9939715266227722,0.9923912286758423,0.01
