,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
21,0.969525933265686,0.9698193073272704,0.0909148976206779,0.9756170511245728,0.9655594825744628,0.971185028553009,0.9710599780082704,0.0881445556879043,0.9761233925819396,0.9672877192497252
22,0.971015691757202,0.971283793449402,0.085416704416275,0.9765895009040833,0.9673384428024292,0.9715622067451476,0.9718605875968932,0.0844271406531333,0.9764240384101868,0.968469500541687
23,0.972782015800476,0.9730965495109558,0.0813451036810875,0.9781363606452942,0.969362497329712,0.9706569910049438,0.9709596633911132,0.0889997854828834,0.975852906703949,0.967363178730011
24,0.9706510901451112,0.9708011150360109,0.0885192528367042,0.9760473966598512,0.9669486880302428,0.9780996441841124,0.9784360527992249,0.0631781965494155,0.9823277592658995,0.9755600690841676
25,0.972624897956848,0.9727550745010376,0.0815368369221687,0.9776467084884644,0.9690984487533568,0.9759372472763062,0.9762166142463684,0.0705862492322921,0.9803687930107116,0.9731462597846984
26,0.9740203619003296,0.9741102457046508,0.07776989787817,0.9788026809692384,0.9706196784973145,0.9753840565681458,0.975563943386078,0.0741046443581581,0.9798322916030884,0.972391963005066
27,0.9743346571922302,0.9744710922241212,0.0749933645129203,0.9788284301757812,0.9712419509887696,0.977948784828186,0.978407382965088,0.0682326480746269,0.9824010729789734,0.9754846692085266
28,0.975352942943573,0.9755492806434632,0.0715810507535934,0.9797163009643556,0.9724739789962769,0.9759372472763062,0.976337432861328,0.0718483328819274,0.9801772236824036,0.973498284816742
29,0.9764404296875,0.9764474630355836,0.0692319571971893,0.980523645877838,0.9734294414520264,0.9757612347602844,0.9761314988136292,0.0763218030333519,0.9797813892364502,0.9735485911369324
30,0.9774461388587952,0.9774788618087769,0.0663606896996498,0.981151282787323,0.9747495055198668,0.9761635065078736,0.9767793416976928,0.0734509751200676,0.9799721837043762,0.974403440952301
31,0.9777981638908386,0.977825164794922,0.0645086765289306,0.9813339114189148,0.975214660167694,0.9763144254684448,0.976607084274292,0.075249508023262,0.979698121547699,0.9743280410766602
32,0.9784393310546876,0.9784303903579712,0.0631598308682441,0.981831192970276,0.975918710231781,0.9794825315475464,0.9796990156173706,0.0624182447791099,0.9831271767616272,0.9771944284439088
33,0.9797468185424804,0.9798681735992432,0.0594974644482135,0.9832421541213988,0.977364420890808,0.978552222251892,0.9787976741790771,0.0662714540958404,0.9816771149635316,0.9766663908958436
34,0.9769873023033142,0.9770495295524596,0.0692582353949546,0.980812668800354,0.974246621131897,0.983279287815094,0.9837851524353028,0.0502715930342674,0.9871010184288024,0.9813180565834044
35,0.9781816005706788,0.9783093929290771,0.064245231449604,0.9820660352706908,0.9755101203918456,0.9812174439430236,0.9815523624420166,0.0566894337534904,0.9848745465278624,0.979055106639862
36,0.9794702529907228,0.9794909954071044,0.0613020323216915,0.9827770590782166,0.9770627021789552,0.9822232127189636,0.9823258519172668,0.0534613840281963,0.9856835603713988,0.9798345565795898
37,0.98019939661026,0.9803152680397034,0.0581163875758647,0.9836849570274352,0.9778107404708862,0.9836061596870422,0.9839636087417604,0.0476587153971195,0.9867835640907288,0.9818460941314696
38,0.9809348583221436,0.9808696508407592,0.0563851371407508,0.9838110208511353,0.9786782264709472,0.9832038283348083,0.9835911989212036,0.0519710630178451,0.986503541469574,0.9814186096191406
39,0.9817017316818236,0.9817954301834106,0.0543221309781074,0.9847771525382996,0.979595959186554,0.9785019159317015,0.9787942171096802,0.0685416534543037,0.982166349887848,0.9762641191482544
40,0.9818840026855468,0.9818534255027772,0.0531933829188346,0.9846063256263732,0.97981595993042,0.9802871346473694,0.980802059173584,0.0601899847388267,0.9840177893638612,0.9784013628959656
41,0.9824246168136596,0.9825599789619446,0.0519726015627384,0.9852461218833924,0.9805702567100524,0.9779990315437316,0.9782769083976746,0.0685008987784385,0.9813662767410278,0.9759624004364014
42,0.98307204246521,0.9830767512321472,0.0500998236238956,0.9856407046318054,0.9811674356460572,0.9798597097396852,0.980224609375,0.06168769672513,0.9825531244277954,0.9784767627716064
43,0.9829966425895692,0.9831005334854126,0.0498530827462673,0.9854564666748048,0.9813371300697328,0.982474684715271,0.982746124267578,0.0542110279202461,0.9850531220436096,0.9809911847114564
44,0.956500260525268,0.9548431959855277,0.06072503937663802,0.9611352553744813,0.966495378021506,0.9626824485400461,0.9799463566654072,0.05294754345509387,0.9778574662528025,0.9705993984071003
45,0.9595689961921511,0.9611338875845027,0.06810673114492992,0.984379315784791,0.9578615724820058,0.9718884862648022,0.9830806624197109,0.06659400486485371,0.9608016691434605,0.965102765091335
46,0.9755390139765311,0.9632256015217353,0.05729093829668584,0.9563826446621011,0.9741822073800805,0.9810600537304335,0.9551735701369385,0.05089550735650342,0.9730743595964633,0.9762291269032274
47,0.9608289236534624,0.9775284623942487,0.055502432552621356,0.9821827039576277,0.9609870220399447,0.9556499284296149,0.9833299628077499,0.06081747256801722,0.9599157573857485,0.9751075352435972
48,0.9557974447919694,0.9663210365235504,0.05844620885291663,0.9778650373202045,0.9769849049849303,0.9631265652269552,0.9732277631639902,0.06418727402537125,0.9690920126823834,0.9657569216038382
49,0.9559420777261409,0.9709260156667096,0.056148449936868,0.9712421671237931,0.9647252374681778,0.9762389219536455,0.9670519424211053,0.06592768217588824,0.9850873727665038,0.9662801207615046
50,0.9677933716742491,0.9671862483611415,0.06372727680263628,0.9697120256552543,0.9624832729685328,0.980039814952261,0.9595927088297233,0.05007111410328134,0.9687904988203797,0.9601576868496834
51,0.9750307605012734,0.9727313493329668,0.059558832370096654,0.9669478436262738,0.962540258361928,0.9597528841291575,0.9657084455912117,0.06350183896359479,0.9795937173357436,0.9676873964738635
52,0.9776283993590964,0.9799141114149215,0.05508378515072851,0.976655059763752,0.9514626043961378,0.973804118606551,0.956676659865722,0.0587191329540124,0.9664166760424099,0.9675536462697111
53,0.9750676026580064,0.9564320100099988,0.05368968979532599,0.9768617369678085,0.9528505140045753,0.9558731062015393,0.9735061303798093,0.05477882590944366,0.961666030725808,0.9735842548674601
54,0.9711157612198505,0.9642481222331283,0.05182944304279518,0.9770371280962631,0.9724071962862951,0.9692271344364922,0.9555998552641857,0.06035526691789309,0.9823246995187356,0.9605687079801679
