,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
100,0.0013,0.9997,0.9996,0.9997,0.9996,0.0031,0.9992,0.9992,0.9993,0.9993
101,0.0007,0.9998,0.9998,0.9999,0.9998,0.0031,0.9993,0.9992,0.9993,0.9993
102,0.0007,0.9999,0.9998,0.9999,0.9998,0.0024,0.9995,0.9995,0.9995,0.9995
103,0.0012,0.9996,0.9996,0.9997,0.9996,0.0083,0.9983,0.998,0.9983,0.9982
104,0.0012,0.9996,0.9996,0.9997,0.9996,0.0045,0.9989,0.9987,0.9987,0.9988
105,0.0004,0.9999,0.9999,0.9999,0.9999,0.003,0.9993,0.9993,0.9994,0.9993
106,0.0014,0.9997,0.9996,0.9997,0.9997,0.0049,0.9989,0.9988,0.9988,0.9989
107,0.001,0.9997,0.9997,0.9997,0.9997,0.0036,0.9992,0.9991,0.9991,0.9992
108,0.0005,0.9999,0.9998,0.9998,0.9998,0.0032,0.9993,0.9993,0.9994,0.9994
109,0.0008,0.9998,0.9998,0.9998,0.9998,0.0034,0.9993,0.9993,0.9993,0.9994
110,0.0011,0.9997,0.9997,0.9998,0.9997,0.0032,0.9993,0.9991,0.9992,0.9992
111,0.0008,0.9998,0.9998,0.9998,0.9998,0.0024,0.9994,0.9993,0.9993,0.9994
112,0.0009,0.9998,0.9998,0.9998,0.9997,0.0052,0.9986,0.9985,0.9987,0.9987
113,0.0009,0.9997,0.9997,0.9997,0.9997,0.0037,0.9991,0.9989,0.999,0.999
114,0.0006,0.9999,0.9999,0.9999,0.9999,0.0024,0.9995,0.9995,0.9996,0.9995
115,0.0,1.0,1.0,1.0,1.0,0.0028,0.9995,0.9995,0.9995,0.9996
116,0.0017,0.9996,0.9995,0.9996,0.9996,0.0048,0.999,0.999,0.999,0.9991
117,0.0009,0.9998,0.9998,0.9998,0.9998,0.0046,0.9988,0.9986,0.9987,0.9988
119,0.0006,0.9998,0.9998,0.9998,0.9998,0.0055,0.9987,0.9985,0.9987,0.9986
120,0.0006,0.9999,0.9998,0.9999,0.9998,0.0032,0.9992,0.9992,0.9993,0.9992
121,0.001,0.9998,0.9997,0.9998,0.9997,0.0035,0.9992,0.9992,0.9992,0.9993
122,0.0003,0.9999,0.9999,0.9999,0.9999,0.005,0.9989,0.9987,0.9988,0.9989
123,0.0012,0.9997,0.9997,0.9997,0.9997,0.0029,0.9992,0.9992,0.9993,0.9993
124,0.0007,0.9998,0.9998,0.9998,0.9998,0.0032,0.9992,0.9992,0.9993,0.9993
125,0.0006,0.9998,0.9998,0.9999,0.9998,0.0046,0.9991,0.999,0.9991,0.9991
126,0.0006,0.9998,0.9998,0.9998,0.9998,0.008,0.9984,0.9983,0.9985,0.9984
127,0.001,0.9997,0.9997,0.9998,0.9997,0.0041,0.9992,0.9993,0.9993,0.9993
128,0.0006,0.9998,0.9998,0.9999,0.9998,0.005,0.9989,0.9987,0.9988,0.9988
