,train_loss,train_acc,train_f1,train_recall,train_precision,val_loss,val_acc,val_f1,val_recall,val_precision
57,0.004143138885561633,0.9693088300960435,0.9630272801823653,0.9655308710740336,0.9576924769956853,0.0035341319771011637,0.9055101102883458,0.9260746281321464,0.9254443027405153,0.9520353776780958
58,0.0038755108774289116,0.9654467295032384,0.9621171554928979,0.9682726772715005,0.9657073803541104,0.0036925284348699773,0.9054417754453212,0.9243360286261741,0.919322078284424,0.9431130334313957
59,0.004189727432612902,0.9598863895297676,0.9592579860925614,0.956590077768901,0.9727270610477643,0.0036413806705423465,0.9130485255000378,0.9284352745234693,0.9182434850280379,0.9508085913517679
60,0.003984050730861951,0.9575531459904895,0.9525146995341373,0.958723896771818,0.9650190892846708,0.0032610276587254046,0.9003219667616796,0.9167474168045486,0.9191836846666984,0.9529546020830508
61,0.003929769593577388,0.9537470913104203,0.9655067820880586,0.9612346226048917,0.9598452791916855,0.0033723654148024736,0.9054549294082187,0.9200345528320797,0.9202132153344161,0.955332101908134
62,0.004096889096563321,0.9690187492660692,0.9551939608163403,0.9581829923884706,0.9611203049614213,0.0033292443402204775,0.8946472632700966,0.925170733188856,0.9152144396087598,0.9418112146808829
63,0.0038179055292197352,0.9528286883141017,0.9584359763721638,0.9662418861570617,0.9600998549719082,0.0033551861463470226,0.8977930126237847,0.9335258625857341,0.9233703064610755,0.9385254709264141
64,0.0037465875292090594,0.9531210437826529,0.9530995661703211,0.9576842251335375,0.9565569742606005,0.003623547163097751,0.8983180953660236,0.9228921018851396,0.925353602962355,0.9510143898850055
65,0.003855874001777335,0.9598186611296763,0.9646755983127883,0.9546623832138538,0.970392821966558,0.0032748020437520274,0.8969552107757507,0.92298709995261,0.9283165445632667,0.950035073303333
66,0.004143182297380237,0.9704010292027062,0.9528858546282065,0.9559925729786911,0.9658133548104617,0.0035248575034816203,0.8962284899698467,0.9227540696180687,0.9187923671834795,0.955942040151632
67,0.003931019079583752,0.9513544531879143,0.9526446118452006,0.9566116948027739,0.9585131697317353,0.003455304213201967,0.9070618903288878,0.9174755289830561,0.9131668902896126,0.9536707129986436
68,0.003919596483126551,0.9683099515775838,0.9690103788567057,0.9492124604028088,0.9717757632663347,0.0034198143939068466,0.9090021909999791,0.9250835230290085,0.9224458777110834,0.9414202603498695
69,0.004094900410531318,0.9559373383935552,0.9679393962630274,0.9555220395254452,0.9612850897183618,0.0036502494114100865,0.905665302950706,0.9224314636554675,0.9143113133032942,0.9453034352948823
70,0.0038577307556436026,0.9595335728032136,0.9613585875808373,0.9564367163671131,0.9694184450559957,0.0034464893189084505,0.9047411360657021,0.9273581519685343,0.9265107000474337,0.9532805403611041
71,0.004110202922572963,0.9667515438828832,0.9584783931105627,0.9497480322202454,0.96449975462514,0.0036410396456147596,0.9124371432441852,0.9174804004639429,0.9318382293471847,0.9540763738296847
72,0.004068554810235289,0.9561420199881524,0.9622301711335054,0.95747931084075,0.967581209974063,0.0036119197334313646,0.913802812516539,0.9300201447692035,0.917548873974651,0.9391920830420142
73,0.004138247071799072,0.9539973159492221,0.9545980276039665,0.9639579461219274,0.9705359462565774,0.0033758927885932065,0.9099916473801577,0.9277833132114167,0.9170819076857999,0.9476943522418986
74,0.0038153857862807295,0.9615108642415917,0.9643840394474957,0.9514434947962253,0.9697549642401486,0.0034453560737746176,0.9026542053861376,0.9211269848855489,0.9283913126840344,0.9533348422102281
75,0.0037964940111599186,0.9650662100985128,0.9682565466064539,0.965712000730882,0.9617376721201555,0.0033158529684509546,0.8950493877532796,0.92925051036711,0.926607578336969,0.95592210444848
76,0.004113163731727833,0.9660205991185502,0.9645731001878753,0.9613992373619873,0.955684501803202,0.0033342604419469473,0.9099395730092332,0.9166147183178781,0.9226895430428569,0.9439205342401044
77,0.0040366335204389025,0.9597938678672863,0.9593388046646292,0.9516136990010751,0.9728997994795984,0.00360862541323854,0.9143803494230422,0.9317703518180965,0.9272030942795544,0.9420804080123605
78,0.0037422027577165727,0.964815033652783,0.9536289966159431,0.9576380610540081,0.9659980454226699,0.0036720766272500607,0.895324986966525,0.9280926927111013,0.918276374564033,0.9462128051012445
79,0.003782217460107762,0.9610252193501216,0.9554991302516498,0.9599665418058771,0.9605588419847237,0.003671072684635329,0.8947481863684578,0.9171112564419658,0.917504676760008,0.9388647738861045
80,0.004077774871575752,0.9628470646209264,0.9653807137852485,0.9620160296674255,0.9657312585147141,0.0032540232045010407,0.910657445347292,0.9327482699237685,0.9223847286904621,0.9408579126996592
81,0.0038658407694382325,0.9587546966794712,0.9616251665795404,0.955651245265087,0.9660520731495001,0.0035737831036582097,0.8971386549981509,0.9200797181648633,0.9286856479113204,0.9529460034827277
82,0.0038492174188183574,0.9568239952761716,0.9595514405962474,0.9519564015222008,0.973334939981725,0.0032204578055053433,0.9031051867583129,0.9318846774323557,0.9187364962105999,0.9380979488232872
83,0.0039156200188541004,0.965408447147364,0.962475129887275,0.9621253964939847,0.966280306233152,0.0035311926661270336,0.9079762648629068,0.9264105293911509,0.9213352609216151,0.9468925021133512
84,0.003740150793329718,0.960385547976454,0.9567454106686095,0.9578548806115619,0.97086255365555,0.0036918974922773152,0.8998235988626292,0.9232029014208013,0.9273710081098043,0.9422174120220131
85,0.0038798218927022124,0.9535962196014692,0.9680655221494061,0.9613285679143238,0.9637169335850065,0.0035293133513886396,0.9034637361100404,0.9344436648301925,0.9185706087524217,0.9545989000298085
86,0.003776925157730309,0.9709556120799628,0.967025298318757,0.9561992924945104,0.9562245436164752,0.0034185036521527804,0.8992694805923392,0.9211365545147756,0.9275016935366882,0.947726108641813
87,0.0038737950958883075,0.9551958977182609,0.9541749290385897,0.952704959608605,0.9674092308289362,0.0032551111602345225,0.8977725160233978,0.9221609098011955,0.9143839376653721,0.9472159761828175
88,0.003725630901377362,0.9565996188594992,0.9702687047938718,0.9621252778302968,0.960027599791865,0.0032761200454493084,0.9128454876585032,0.9245465746158018,0.9235816043522459,0.9445589823295494
89,0.0041327266403020715,0.9598136893529372,0.9631363890220386,0.9622297579577717,0.9649164432272503,0.003477461653921497,0.9029152111942472,0.9178208395093537,0.9205455766717331,0.9529502110619028
90,0.003977701736870376,0.9580511043023806,0.9656717543675237,0.9579204704941633,0.9718221185723792,0.0033148273848408196,0.896628669284411,0.9338563529279215,0.9182712025702945,0.9386028873278321
91,0.004016871945342341,0.9616542575844194,0.9591277590000646,0.9595531679229049,0.9690409053333581,0.0034390918543454243,0.9011874018472327,0.9211349594089651,0.9278424444292336,0.9562758656913031
92,0.00378353061208163,0.9607465030981592,0.969664000041853,0.9509501808677937,0.9682010660197466,0.0032368383370621912,0.9029514325730795,0.9257991102815593,0.923925413916431,0.9444875662370498
93,0.003911489323886051,0.9632279409475721,0.9529941210971309,0.9545290224034061,0.961577932020688,0.0036744210316557086,0.8963660148536369,0.9170678536513774,0.9184561983335545,0.9437673982700466
94,0.0037134522602811225,0.9601779833366192,0.9689227351222667,0.9551481584982106,0.9683951484660773,0.0035941881610088654,0.8950476800861678,0.9196883804743156,0.923695876008377,0.9560420029504374
95,0.003918379234620168,0.955932309098441,0.9695544847927423,0.9527533229948172,0.9699581973244219,0.0034922919146084183,0.9095498702307919,0.9220176172110767,0.9261079205950212,0.9430235146608281
96,0.0041180596900624415,0.9693815968232081,0.9617400395734402,0.9571314230139604,0.9746046045375184,0.0036290184960460097,0.9014925003749256,0.9196117705907214,0.9260644122612677,0.9429283172877412
97,0.003880916722740223,0.9634204723459308,0.9577799190974211,0.9583501093631482,0.9729639932145211,0.003434491205142134,0.8948925480166224,0.919163176184125,0.915434857916854,0.9560087653164565
98,0.004118842098383455,0.9696667539384421,0.9670246269312074,0.9671762027055004,0.9556888998078625,0.0033508843906398115,0.9058154721702407,0.9220735007492505,0.9280768279330573,0.9526772944834793
99,0.0038289824722576647,0.9663229969048049,0.9638083515828347,0.955063828705081,0.9733592442327237,0.0032553690726303893,0.9071054712408023,0.9220125993835491,0.9189808775498977,0.9383386460906747
100,0.004194651004628008,0.9677342175541296,0.9553686246052346,0.9629759994099639,0.970850063382713,0.0032767357554724552,0.8947013902533014,0.9180290310612748,0.931532568696466,0.9418374670291636
101,0.004094419272259561,0.9673708040757193,0.9642072917875592,0.9611450372059515,0.9617649530079755,0.0036712460603345693,0.910574861902602,0.9295858269611428,0.9252412183122136,0.9418632781612467
102,0.004022221866218342,0.966569232662373,0.9539359605083877,0.9622907078725027,0.9591920800602056,0.0032321089592508966,0.8975580728305977,0.9223712403421696,0.9193492185531726,0.9408533446127884
103,0.0040807934195770355,0.9680662595474485,0.9623669052747654,0.9530782344520753,0.9696647054073217,0.0035990700945594456,0.9107451892414961,0.9311522639636958,0.9230182492681306,0.9420807203482459
104,0.003882181556857444,0.9540055379070004,0.9520795542837341,0.9498147891675165,0.9633684535030672,0.0034560471563095706,0.9137413420606356,0.9151240751101537,0.9286776950098159,0.9496659433266006
105,0.004063588924351092,0.9633720922552366,0.9643629766039481,0.9573839309513347,0.9618535665709373,0.0032367927870326513,0.9132925650428142,0.9172500945622497,0.9215436484359946,0.9443701016456053
